币别,现金银行买入,现金银行卖出,即期银行买入,即期银行卖出
USD,29.86000,30.53000,30.21000,30.31000
HKD,3.71800,3.92200,3.84400,3.90400
GBP,35.91000,38.03000,36.92000,37.32000
AUD,20.76000,21.54000,21.05000,21.25000
CAD,22.14000,23.05000,22.54000,22.74000
SGD,22.39000,23.30000,22.88000,23.06000
CHF,31.93000,33.13000,32.61000,32.86000
JPY,0.22790,0.24070,0.23520,0.23920
ZAR,0.00000,0.00000,1.76200,1.84200
SEK,2.54000,3.06000,2.88000,2.98000
NZD,18.90000,19.75000,19.28000,19.48000
THB,0.79380,0.98380,0.90620,0.94620
PHP,0.48890,0.62090,0.00000,0.00000
IDR,0.00168,0.00238,0.00000,0.00000
EUR,32.04000,33.38000,32.66000,33.06000
KRW,0.02278,0.02668,0.00000,0.00000
VND,0.00107,0.00148,0.00000,0.00000
MYR,5.97300,7.49300,0.00000,0.00000
CNY,4.41000,4.57200,4.48200,4.53200
